timestamp,steering,offset
1751030102.359463,0.005,1.143
1751030102.459685,0.014,1.195
1751030102.559403,0.019,1.233
1751030102.6605275,0.024,1.267
1751030102.7593849,0.028,1.284
1751030102.8594792,0.028,1.28
1751030102.9597824,0.028,1.254
1751030103.0594528,0.028,1.202
1751030103.1875005,0.024,1.099
1751030103.2595391,0.016,1.015
1751030103.3595324,0.005,0.891
1751030103.4592702,-0.005,0.753
1751030103.559892,-0.013,0.638
1751030103.6598687,-0.02,0.499
1751030103.7600756,-0.02,0.368
1751030103.8598828,-0.02,0.253
1751030103.9595084,-0.02,0.159
1751030104.0593817,-0.02,0.0
1751030104.1786299,-0.018,0.0
1751030104.259264,-0.018,0.0
1751030104.35945,-0.018,0.0
1751030104.459525,-0.018,0.0
1751030104.5593777,-0.018,0.0
1751030104.6594355,-0.018,0.0
1751030104.7598174,-0.021,0.0
1751030104.8596268,-0.027,0.17
1751030104.959519,-0.036,0.267
1751030105.0595753,-0.047,0.399
1751030105.19243,-0.063,0.638
1751030105.259548,-0.073,0.877
1751030105.3595598,-0.084,1.384
1751030105.4594564,-0.092,-1.453
1751030105.5596735,-0.097,-0.598
1751030105.6593318,-0.106,0.404
1751030105.7598605,-0.116,1.461
1751030105.8596034,-0.126,2.654
1751030105.9595966,-0.133,2.06
1751030106.060075,-0.136,0.934
1751030106.1896794,-0.143,-0.653
1751030106.259625,-0.146,-1.284
1751030106.3594704,-0.151,1.214
1751030106.4592676,-0.149,0.351
1751030106.559234,-0.132,-0.382
1751030106.6592798,-0.096,-1.038
1751030106.7595146,-0.061,-1.611
1751030106.8598893,-0.032,-1.502
1751030106.9593055,0.006,-1.063
1751030107.0593035,0.042,-0.655
1751030107.2127662,0.063,0.0
1751030107.2606597,0.058,-0.112
1751030107.3593097,0.032,-0.562
1751030107.4594069,-0.004,-1.03
1751030107.5598102,-0.049,-1.596
1751030107.659703,-0.084,1.442
1751030107.7598112,-0.101,1.088
1751030107.8598554,-0.115,0.697
1751030107.9593728,-0.12,0.349
1751030108.0597365,-0.111,0.149
1751030108.1871493,-0.09,0.0
1751030108.2592976,-0.075,0.0
1751030108.3597925,-0.048,0.0
1751030108.4602127,-0.016,0.125
1751030108.5594451,0.004,0.267
1751030108.659244,0.018,0.422
1751030108.759366,0.025,0.583
1751030108.8593495,0.031,0.73
1751030108.9594824,0.035,0.855
1751030109.059234,0.038,0.954
1751030109.1967885,0.039,1.035
1751030109.2600305,0.039,1.057
1751030109.3594613,0.037,1.063
1751030109.459235,0.031,1.035
1751030109.560015,0.02,0.976
1751030109.659425,0.01,0.892
1751030109.7594547,0.0,0.796
1751030109.8595798,-0.007,0.698
1751030109.9598744,-0.011,0.6
1751030110.0599155,-0.013,0.511
1751030110.1794248,-0.013,0.414
1751030110.2593782,-0.013,0.357
1751030110.3598552,-0.013,0.303
1751030110.4598663,-0.013,0.246
1751030110.5598454,-0.013,0.197
1751030110.6594594,-0.013,0.157
1751030110.7595341,-0.013,-0.125
1751030110.8597488,-0.013,0.109
1751030110.9592896,-0.013,0.103
1751030111.0592175,-0.013,0.111
1751030111.1973522,-0.013,0.14
1751030111.2597177,-0.013,0.169
1751030111.3594198,-0.013,0.218
1751030111.4593275,-0.012,0.279
1751030111.5597672,-0.006,0.35
1751030111.6593952,-0.002,0.432
1751030111.7592428,0.002,0.516
1751030111.8592625,0.008,0.603
1751030111.9598958,0.015,0.688
1751030112.0596805,0.02,0.764
1751030112.1774604,0.023,0.839
1751030112.2594159,0.023,0.875
1751030112.3598292,0.023,0.9
1751030112.4595914,0.022,0.905
1751030112.5597098,0.017,0.887
1751030112.6592972,0.007,0.84
1751030112.7595146,-0.002,0.788
1751030112.8594189,-0.008,0.729
1751030112.9593415,-0.012,0.671
1751030113.0595849,-0.016,0.615
1751030113.2181683,-0.016,0.555
1751030113.2594109,-0.016,0.545
1751030113.3592749,-0.018,0.532
1751030113.4593396,-0.022,0.534
1751030113.5594306,-0.029,0.555
1751030113.6599324,-0.038,0.61
1751030113.7594354,-0.049,-0.688
1751030113.8592613,-0.054,-0.761
1751030113.9596822,-0.054,-0.833
1751030114.0604944,-0.054,-0.869
1751030114.2035208,-0.049,-0.934
1751030114.259298,-0.046,-0.975
1751030114.3597167,-0.042,-0.989
1751030114.4593725,-0.041,-0.999
1751030114.5592847,-0.041,-1.027
1751030114.6592565,-0.043,-1.002
1751030114.7597082,-0.051,-0.973
1751030114.8595726,-0.06,-0.963
1751030114.959494,-0.069,-0.912
1751030115.0592191,-0.076,-0.87
1751030115.1957407,-0.082,-0.877
1751030115.2595432,-0.084,-0.836
1751030115.3597088,-0.086,-0.871
1751030115.4595919,-0.087,-0.876
1751030115.5595481,-0.087,-0.912
1751030115.6599889,-0.086,-0.994
1751030115.759308,-0.079,-1.074
1751030115.8592842,-0.069,-1.191
1751030115.9592931,-0.06,-1.345
1751030116.0601332,-0.051,-1.447
1751030116.1874654,-0.045,-1.628
1751030116.2597997,-0.044,-1.732
1751030116.3594632,-0.044,1.617
1751030116.4598212,-0.043,1.491
1751030116.5593271,-0.038,1.334
