timestamp,steering_angle_rad,longitudinal_offset,lateral_offset,lane_id
2025-06-08T18:14:51.208781,-0.022,0.063,-0.113,1
2025-06-08T18:14:51.237079,-0.020,0.063,-0.113,1
2025-06-08T18:14:51.277376,-0.018,-0.356,-0.118,-1
2025-06-08T18:14:51.300081,-0.016,-0.356,-0.118,-1
2025-06-08T18:14:51.323865,-0.015,-0.356,-0.118,-1
2025-06-08T18:14:51.361003,-0.013,0.002,-0.123,-1
2025-06-08T18:14:51.384353,-0.012,0.002,-0.123,-1
2025-06-08T18:14:51.405947,-0.011,0.002,-0.123,-1
2025-06-08T18:14:51.428022,-0.010,0.002,-0.123,-1
2025-06-08T18:14:51.466404,-0.009,0.148,-0.127,1
2025-06-08T18:14:51.488974,-0.007,0.148,-0.127,1
2025-06-08T18:14:51.507369,-0.007,0.148,-0.127,1
2025-06-08T18:14:51.528475,-0.006,0.148,-0.127,1
2025-06-08T18:14:51.559183,-0.006,-0.285,-0.132,-1
2025-06-08T18:14:51.580693,-0.005,-0.285,-0.132,-1
2025-06-08T18:14:51.602813,-0.005,-0.285,-0.132,-1
2025-06-08T18:14:51.639422,-0.004,-0.285,-0.132,-1
2025-06-08T18:14:51.660375,-0.004,0.079,-0.136,-1
2025-06-08T18:14:51.678943,-0.004,0.079,-0.136,-1
2025-06-08T18:14:51.697271,-0.002,0.079,-0.136,-1
2025-06-08T18:14:51.719840,-0.002,0.079,-0.136,-1
2025-06-08T18:14:51.753531,-0.002,0.121,-0.140,1
2025-06-08T18:14:51.778408,-0.002,0.121,-0.140,1
2025-06-08T18:14:51.799313,-0.002,0.121,-0.140,1
2025-06-08T18:14:51.831882,-0.001,0.469,-0.144,1
2025-06-08T18:14:51.857634,-0.001,0.469,-0.144,1
2025-06-08T18:14:51.881152,-0.001,0.469,-0.144,1
2025-06-08T18:14:51.914865,-0.001,0.469,-0.144,1
2025-06-08T18:14:51.934396,-0.001,-0.182,-0.148,1
2025-06-08T18:14:51.952929,-0.001,-0.182,-0.148,1
2025-06-08T18:14:51.969945,-0.001,-0.182,-0.148,1
2025-06-08T18:14:51.986194,-0.001,-0.182,-0.148,1
2025-06-08T18:14:52.015174,-0.001,0.159,-0.151,1
2025-06-08T18:14:52.042138,-0.001,0.159,-0.151,1
2025-06-08T18:14:52.071999,0.016,0.159,-0.151,1
2025-06-08T18:14:52.115989,0.035,-0.478,-0.151,1
2025-06-08T18:14:52.138614,0.060,-0.478,-0.151,1
2025-06-08T18:14:52.158501,0.054,-0.478,-0.151,1
2025-06-08T18:14:52.202810,0.049,-0.478,-0.151,1
2025-06-08T18:14:52.256701,0.044,-0.111,-0.147,1
2025-06-08T18:14:52.287865,0.039,-0.111,-0.147,1
2025-06-08T18:14:52.323844,0.035,0.265,-0.141,1
2025-06-08T18:14:52.347862,0.032,0.265,-0.141,1
2025-06-08T18:14:52.369302,0.029,0.265,-0.141,1
2025-06-08T18:14:52.400004,0.026,-0.391,-0.136,1
